time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-17T14:28:28.690Z,44.0076667,-114.4215,7.82,2.5,ml,12,83,0.445,0.25,mb,mb80470719,2020-10-17T21:04:15.089Z,"27 km S of Clayton, Idaho",earthquake,0.54,1.41,0.165,13,reviewed,mb,mb
2020-10-17T14:19:37.018Z,-31.357,-177.6871,10,4.8,mb,,116,2.115,0.98,us,us6000c8zt,2020-10-17T14:44:51.040Z,"Kermadec Islands region",earthquake,6,1.9,0.131,18,reviewed,us,us
2020-10-17T14:18:20.760Z,17.9586,-66.7373,15,2.63,md,22,184,0.1429,0.19,pr,pr2020291005,2020-10-17T14:43:00.825Z,"4 km SSW of Tallaboa, Puerto Rico",earthquake,0.64,0.49,0.24,16,reviewed,pr,pr
2020-10-17T13:25:55.631Z,38.1491,-117.9448,12,2.5,ml,25,37.42,0.016,0.1338,nn,nn00779125,2020-10-17T17:36:12.832Z,"30 km SSE of Mina, Nevada",earthquake,,0.6,0.11,13,reviewed,nn,nn
2020-10-17T11:42:18.710Z,18.2163,-67.2411,24,3.04,md,20,160,0.0963,0.19,pr,pr2020291004,2020-10-18T10:20:09.911Z,"9 km SW of La Playa, Puerto Rico",earthquake,0.67,1.06,0.19,18,reviewed,pr,pr
2020-10-17T11:15:45.200Z,36.6448326,-121.2651672,6.29,2.58,md,38,88,0.05229,0.1,nc,nc73471866,2020-10-17T13:39:19.214Z,"17km NW of Pinnacles, CA",earthquake,0.26,0.83,0.18,39,automatic,nc,nc
2020-10-17T10:51:55.721Z,66.2463,-157.1975,0,2.5,ml,,,,0.66,ak,ak020ddfndkj,2020-10-17T11:35:25.040Z,"71 km NNW of Huslia, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-10-17T10:49:20.523Z,-54.6267,-132.9391,10,5.4,mww,,73,29.597,0.74,us,us6000c8z4,2020-10-18T10:52:48.012Z,"Pacific-Antarctic Ridge",earthquake,11.8,1.8,0.093,11,reviewed,us,us
2020-10-17T10:46:12.842Z,10.8712,-63.7634,10,4.5,mb,,98,4.546,0.48,us,us6000c8z7,2020-10-17T20:22:09.932Z,"15 km SE of Porlamar, Venezuela",earthquake,6.3,1.9,0.191,8,reviewed,us,us
2020-10-17T09:58:33.970Z,35.6128349,-120.3756638,5.33,2.99,md,45,43,0.0723,0.11,nc,nc73471826,2020-10-17T15:26:09.147Z,"5km S of Shandon, CA",earthquake,0.18,0.74,0.13,59,automatic,nc,nc
2020-10-17T09:17:59.045Z,56.2315,-154.6353,33.2,3.9,ml,,,,0.57,ak,ak020ddeuntl,2020-10-17T09:37:21.815Z,"84 km SSW of Akhiok, Alaska",earthquake,,1,,,reviewed,ak,ak
2020-10-17T08:08:01.576Z,-3.6826,134.7803,45.61,4.4,mb,,149,2.638,0.53,us,us6000c8y4,2020-10-17T08:32:34.040Z,"87 km WSW of Nabire, Indonesia",earthquake,8.1,9.1,0.106,26,reviewed,us,us
2020-10-17T07:54:33.820Z,19.4068336486816,-155.29833984375,0.569999992847443,2.66,ml,14,83,,0.140000001,hv,hv72184286,2020-10-18T12:17:09.799Z,"7 km WSW of Volcano, Hawaii",earthquake,0.26,0.140000001,0.73,6,automatic,hv,hv
2020-10-17T07:31:08.140Z,18.0338,-66.8005,15,2.67,md,21,119,0.0982,0.13,pr,pr2020291003,2020-10-17T08:50:24.836Z,"1 km NNW of Guayanilla, Puerto Rico",earthquake,0.33,0.45,0.34,13,reviewed,pr,pr
2020-10-17T05:44:31.110Z,1.5428,126.5166,55.9,4.7,mb,,97,1.144,0.86,us,us6000c8xd,2020-10-18T04:36:49.040Z,"127 km NW of Ternate, Indonesia",earthquake,4.2,8,0.102,29,reviewed,us,us
2020-10-17T05:19:09.847Z,-19.5111,-173.2166,10,4.9,mb,,131,17.679,0.34,us,us6000c8x9,2020-10-17T06:06:40.040Z,"123 km ENE of Pangai, Tonga",earthquake,9.9,1.9,0.102,30,reviewed,us,us
2020-10-17T05:17:01.687Z,44.312,-115.1142,10,2.7,ml,,64,0.306,0.42,us,us6000c8zn,2020-10-18T04:43:39.189Z,"17 km NW of Stanley, Idaho",earthquake,2.3,2,0.055,44,reviewed,us,us
2020-10-17T05:04:09.936Z,44.361,-115.176,10,2.5,ml,,62,0.311,0.63,us,us6000c8zu,2020-10-18T04:45:17.348Z,"24 km NW of Stanley, Idaho",earthquake,1.4,2,0.064,32,reviewed,us,us
2020-10-17T04:48:04.915Z,45.366,150.0054,60,5.2,mb,,118,5.279,0.85,us,us6000c8x1,2020-10-17T05:07:08.040Z,"167 km E of Kuril’sk, Russia",earthquake,9.3,6.6,0.022,652,reviewed,us,us
2020-10-17T04:46:24.908Z,-16.4818,-73.5168,45.23,4.7,mb,,148,3.708,0.81,us,us6000c8x0,2020-10-17T05:25:11.244Z,"32 km SSE of Atico, Peru",earthquake,11.2,8.7,0.064,75,reviewed,us,us
2020-10-17T04:32:06.090Z,73.8472,8.5877,10,4.6,mb,,85,4.738,1.29,us,us6000c8wy,2020-10-17T04:51:45.040Z,"Greenland Sea",earthquake,5.7,1.9,0.151,14,reviewed,us,us
